.cn	Q2
三杨（明代台阁体诗文三位杨姓代表人物）	Q552
三段论推理	Q557
三民主义	Q559
三江平原	Q560
三沙（海南省地级市）	Q561
三河（廊坊市县级市）	Q562
三湾改编	Q564
三皇五帝（历史与神话中的三皇五帝）	Q567
三监之乱	Q569
三省六部制	Q570
三省（中国古代行政机构）	Q571
三石	Q572
三立新闻台	Q573
三维空间	Q576
三菱	Q578
三藏法师（对精通佛教圣典中之经、律、论三藏者的尊称）	Q579
上书房（清朝皇子皇孙读书的地方）	Q585
上古（历史时代）	Q588
上合组织峰会	Q589
上呼吸道感染	Q590
上士（上士军衔）	Q592
上官云珠	Q593
上官桀（西汉安阳侯）	Q594
上将（上将军衔）	Q595
上市公司	Q597
上帝之城（欧美2002年费尔南多·梅里尔斯导演电影）	Q598
上帝之子	Q599
上帝（中国传统信仰中至高神）	Q600
上思县	Q601
上杉谦信（海音寺潮五郎著作的时代小说）	Q602
上杭县	Q603
上流社会（2015年韩国sbs电视台月火剧）	Q606
上海东方传媒集团有限公司	Q609
上海东方广播电台	Q610
上海中心城区	Q615
上海中心大厦	Q616
上海中环线	Q617
上海久事公司	Q618
上海交通大学	Q621
上海京剧院	Q622
上海人民广场	Q624
上海人民滑稽剧团	Q626
上海人民艺术剧院	Q627
上海公交	Q628
上海农商银行	Q633
上海动物园	Q634
上海双年展	Q638
上海合作组织	Q640
上海国际赛道	Q645
上海地铁	Q648
上海城市规划展示馆	Q649
上海大学	Q652
上海大师赛（斯诺克比赛）	Q653
上海市卫生局	Q660
上海广方言馆	Q664
上海戏剧学院	Q666
上海战役	Q667
上海文艺出版集团	Q671
上海新天地	Q672
上海新报	Q673
上海方言（上海人使用的语言）	Q674
上海永久股份有限公司	Q680
上海浦东发展银行	Q684
上海浦东国际机场	Q685
上海港	Q686
上海滩（1980年周润发、赵雅芝主演tvb电视剧）	Q688
上海环球金融中心	Q690
上海电影译制厂	Q694
上海石油化工股份有限公司	Q698
上海科技大学	Q700
上海站（上海火车站）	Q704
上海纽约大学	Q705
上海航空股份有限公司	Q710
上海菜	Q711
上海虹桥国际机场	Q712
上海虹桥站（高铁站）	Q713
上海话剧艺术中心	Q716
上海越剧院	Q717
上海辞书出版社	Q718
上海通用汽车有限公司	Q721
上海银行	Q726
上海长江隧桥	Q727
上海（中华人民共和国直辖市）	Q733
上海－昆明高速公路	Q735
上海－重庆高速公路	Q736
下南洋（中国人向南洋区域的经商和迁徙）	Q743
不一样的本能	Q751
不丹	Q752
不会分离（光良2007年发行的专辑）	Q753
不列颠百科全书	Q755
不可知论	Q756
不完全竞争	Q759
不容（中医穴位）	Q760
不懂（林俊杰演唱歌曲）	Q762
不治已病治未病	Q765
不知名	Q766
不确定性	Q767
不结盟运动	Q768
不规则星系	Q769
与朱元思书	Q773
丑闻（2003年李在容执导韩国电影）	Q774
专业人员	Q775
专业人士	Q776
专业化	Q777
专利权	Q779
专升本考试	Q782
专家委员会	Q783
专家（在学术、技艺等方面有专门研究或特长的人）	Q784
专有名词	Q785
专用公路	Q787
专用小交换机	Q788
专科	Q790
世俗化	Q793
世俗国家	Q794
世界一流大学	Q796
世界一流大学和一流学科	Q797
世界三大宗教	Q799
世界主义	Q800
世界之最（世界纪录）	Q801
世界人权宣言	Q805
世界历史（历史学分支学科）	Q810
世界历史（金城执导纪录片）	Q811
世界各国	Q813
世界文化遗产	Q820
世界时	Q822
世界末日（美国2013埃文·戈德堡执导电影）	Q823
世界棒球经典赛	Q825
世界洋流	Q826
世界贸易组织	Q835
世界遗产名录	Q837
世界遗产（有突出意义和普遍价值的文物古迹及自然景观）	Q838
世界银行	Q839
世界音乐	Q840
世界（2010上海世博会志愿者主题歌）	Q841
世界（我们的世界充满爱）	Q842
世纪公园（上海市世纪公园）	Q843
丘处机	Q845
丘逢甲	Q847
丙螨氰	Q848
业余天文学	Q849
业余天文学家	Q850
东亚	Q857
东亚峰会	Q858
东京（2008年日本电影）	Q861
东京（日本首都）	Q863
东八区	Q865
东北三省	Q866
东北亚	Q867
东北地区	Q869
东北大学（中国沈阳境内教育部直属重点大学）	Q870
东北平原	Q872
东北抗日联军（抗战时期东北抗日武装）	Q873
东北财经大学	Q878
东医宝鉴	Q880
东半球	Q881
东南丘陵	Q882
东南亚（世界地理概念）	Q883
东吴大学法学院	Q884
东吴大学（台湾著名私立综合性大学）	Q885
东周列国	Q886
东周（中国历史朝代）	Q887
东山湾	Q896
东巴教	Q897
东方医学	Q899
东方哲学	Q901
东方明珠广播电视塔	Q903
东方汇理银行	Q905
东方神起	Q906
东方红一号卫星	Q907
东方风云榜	Q911
东晋	Q912
东条英机（侵华日军甲级战犯）	Q915
东欧	Q919
东正教	Q921
东汉	Q922
东汉末年	Q923
东江湖	Q924
东沙群岛	Q925
东洋界	Q926
东海女真	Q927
东海（中华人民共和国管辖海域）	Q928
东海（日本爱知县东海市）	Q929
东突厥斯坦伊斯兰运动	Q932
东莞（广东省地级市）	Q934
东部季风区	Q936
东风汽车公司	Q938
东魏	Q939
丝绸之路经济带（国家新的经济发展区域）	Q940
丝绸之路（1997年王星军导演电影）	Q941
丝绸之路（古代连接中西方的商道）	Q942
丢番图	Q946
丢番图方程	Q947
两京	Q949
两党制	Q951
两弹一星	Q954
两杆大烟枪	Q957
两栖作战	Q958
两栖攻击舰	Q959
严复（近代著名人物）	Q964
严嵩	Q966
严州	Q967
严格执法	Q968
严范孙	Q969
严重警告	Q970
个人	Q971
个人与社会	Q972
个人中心治疗	Q973
个人计算机	Q977
个体	Q978
个体心理	Q979
个体消费者	Q980
中世纪	Q982
中东	Q983
中亚	Q987
中位数	Q990
中俄伊犁条约	Q991
中共中央政治局关于改进工作作风密切联系群众的规定	Q1000
中兴通讯股份有限公司	Q1004
中北大学（中国高等学校）	Q1005
中医	Q1006
中医医生	Q1007
中医学（医学科学）	Q1008
中医师	Q1009
中医科	Q1010
中医药	Q1011
中医药学（2009年中国医药科技出版社出版书籍）	Q1012
中医诊断	Q1014
中医针灸（世界非物质文化遗产）	Q1015
中华书局	Q1017
中华人民共和国	Q1018
中华人民共和国中医药法	Q1019
中华人民共和国中央人民政府	Q1020
中华人民共和国中央军事委员会	Q1021
中华人民共和国主席	Q1023
中华人民共和国义务教育法	Q1024
中华人民共和国人民代表会议制度	Q1027
中华人民共和国住房和城乡建设部	Q1028
中华人民共和国全国人民代表大会	Q1029
中华人民共和国全国人民代表大会代表	Q1030
中华人民共和国全国人民代表大会常务委员会	Q1031
中华人民共和国全国人民代表大会常务委员会委员长	Q1032
中华人民共和国全国运动会	Q1033
中华人民共和国公安部	Q1034
中华人民共和国公民	Q1035
中华人民共和国农业法	Q1036
中华人民共和国刑法	Q1038
中华人民共和国司法体制	Q1041
中华人民共和国国务院	Q1043
中华人民共和国国务院副总理	Q1044
中华人民共和国国务院总理	Q1046
中华人民共和国国家中医药管理局	Q1049
中华人民共和国国家卫生健康委员会	Q1051
中华人民共和国国家安全法	Q1053
中华人民共和国国家宗教事务局	Q1054
中华人民共和国国家市场监督管理总局	Q1055
中华人民共和国国家广播电视总局	Q1056
中华人民共和国国家新闻出版广电总局	Q1057
中华人民共和国国家监察委员会	Q1060
中华人民共和国国家行政学院	Q1062
中华人民共和国国家通用语言文字法	Q1064
中华人民共和国国庆节	Q1065
中华人民共和国国旗	Q1066
中华人民共和国国旗法	Q1067
中华人民共和国国民经济和社会发展第十一个五年规划纲要	Q1069
中华人民共和国国民经济和社会发展第十三个五年规划纲要	Q1070
中华人民共和国国籍法	Q1071
中华人民共和国地方各级人民政府	Q1073
中华人民共和国外交	Q1075
中华人民共和国外交部	Q1076
中华人民共和国婚姻法（中华人民共和国法律条文）	Q1077
中华人民共和国宪法	Q1078
中华人民共和国宪法（中华人民共和国宪法）	Q1079
中华人民共和国护照	Q1080
中华人民共和国政府和大不列颠及北爱尔兰联合王国政府关于香港问题的联合声明	Q1081
中华人民共和国教育法	Q1083
中华人民共和国教育部	Q1084
中华人民共和国最高人民法院	Q1086
中华人民共和国民政部	Q1088
中华人民共和国民法通则	Q1089
中华人民共和国消费者权益保护法	Q1091
中华人民共和国环境保护法	Q1093
中华人民共和国科技	Q1094
中华人民共和国第一届全国人民代表大会	Q1095
中华人民共和国第九届运动会	Q1096
中华人民共和国第五届全国人民代表大会	Q1097
中华人民共和国第六届全国人民代表大会	Q1098
中华人民共和国著作权法（法律）	Q1100
中华人民共和国行政区划	Q1101
中华人民共和国香港特别行政区基本法	Q1102
中华全国体育总会	Q1103
中华共和国	Q1104
中华帝国（袁世凯建立的君主立宪制政权）	Q1105
中华教育界	Q1106
中华文化	Q1107
中华文化（文化）	Q1109
中华文明起源	Q1110
中华曙猿	Q1111
中华民国	Q1112
中华民国临时参议院	Q1113
中华民国临时政府	Q1115
中华民国临时政府组织大纲	Q1116
中华民国国军	Q1121
中华民国国旗	Q1122
中华民国国民政府	Q1124
中华民国大总统	Q1125
中华民国宪法（中华民国宪法）	Q1127
中华民国政府	Q1129
中华民国陕甘宁边区政府	Q1134
中华民族（中央电视台节目）	Q1136
中华法系	Q1137
中华爱国同心会	Q1138
中华白海豚	Q1141
中华苏维埃共和国	Q1146
中华苏维埃共和国临时中央政府	Q1147
中华造船厂	Q1150
中华鲟	Q1153
中华（汽车品牌）	Q1154
中华（香烟品牌）	Q1155
中南半岛	Q1156
中南地区	Q1157
中南大学	Q1158
中南政法学院	Q1160
中南海（香烟品牌名称）	Q1161
中印边界	Q1162
中原文化	Q1164
中原（中国文明发源地）	Q1167
中国东北地区	Q1173
中国东南地区	Q1174
中国东部	Q1175
中国中医科学院	Q1176
中国中部经济区	Q1178
中国丹霞	Q1179
中国人口	Q1184
中国人民大学	Q1185
中国人民大学新闻学院	Q1186
中国人民志愿军	Q1187
中国人民政治协商会议	Q1188
中国人民政治协商会议共同纲领	Q1193
中国人民政治协商会议第一届全国委员会	Q1195
中国人民政治协商会议组织法	Q1196
中国人民武装警察部队	Q1197
中国人民解放军	Q1198
中国人民解放军战略支援部队	Q1200
中国人民解放军火箭军	Q1201
中国人民解放军陆海空三军仪仗队	Q1203
中国人（刘德华演唱的歌曲）	Q1208
中国人（地域归属概念）	Q1209
中国伊斯兰教	Q1210
中国传统建筑	Q1211
中国传统文化（民族文明，风俗，精神的总称）	Q1212
中国传统艺术	Q1214
中国传统节日	Q1215
中国佛教	Q1219
中国佛教四大名山	Q1220
中国作家（作家分类）	Q1221
中国入世十周年高层论坛	Q1222
中国共产主义青年团	Q1223
中国共产党	Q1225
中国共产党上海市委员会	Q1226
中国共产党中央全面深化改革委员会	Q1229
中国共产党中央军事委员会	Q1230
中国共产党中央军事委员会主席	Q1231
中国共产党中央国家安全委员会	Q1232
中国共产党中央委员会	Q1233
中国共产党中央委员会宣传部	Q1236
中国共产党中央委员会总书记	Q1237
中国共产党中央委员会组织部	Q1238
中国共产党中央局	Q1239
中国共产党中央政治局	Q1240
中国共产党中央政治局常务委员会	Q1242
中国共产党中央政治局常务委员会委员	Q1243
中国共产党中央政法委员会	Q1244
中国共产党中央纪律检查委员会	Q1245
中国共产党中央纪律检查委员会书记	Q1246
中国共产党中央财经委员会	Q1247
中国共产党党员	Q1249
中国共产党党旗	Q1251
中国共产党历史（中国共产党发展历程）	Q1253
中国共产党章程	Q1256
中国共产党章程（中国共产党章程）	Q1257
中国共产党第三次全国代表大会	Q1260
中国共产党第八次全国代表大会	Q1263
中国共产党第六届中央委员会第四次全体会议	Q1264
中国共产党第十一届中央委员会第三次全体会议	Q1266
中国共产党第十三次全国代表大会	Q1268
中国共产党第十九次全国代表大会（党的十九大）	Q1269
中国共产党第十八届中央委员会第一次全体会议	Q1271
中国共产党第十八次全国代表大会	Q1272
中国内地	Q1278
中国农业	Q1281
中国农工民主党	Q1282
中国出版	Q1284
中国出版社	Q1285
中国刑事警察学院	Q1286
中国制造2025	Q1287
中国力量（nhk出品的纪录片特辑）	Q1289
中国医学	Q1290
中国医科大学	Q1291
中国南极中山站	Q1293
中国卫星	Q1294
中国历史朝代	Q1299
中国历史（中国从云南元谋人到二十一世纪之间的历史）	Q1300
中国古代哲学（中国古代的哲学）	Q1301
中国古代音乐	Q1303
中国古典文学	Q1304
中国史学史（金毓黻创作历史作品）	Q1307
中国哲学	Q1309
中国哲学史大纲	Q1310
中国四大书院	Q1312
中国四大湖泊	Q1313
中国国内生产总值	Q1316
中国国医节	Q1317
中国国家博物馆	Q1318
中国国民党	Q1321
中国国民党第一次全国代表大会	Q1324
中国国民党革命委员会	Q1325
中国国际航空股份有限公司	Q1328
中国土地资源	Q1329
中国地理	Q1331
中国外交政策	Q1333
中国大学	Q1335
中国大陆	Q1336
中国好声音之为你转身	Q1337
中国姓氏	Q1338
中国威胁论	Q1339
中国宝武钢铁集团有限公司	Q1341
中国少年先锋队	Q1342
中国工农红军第一方面军	Q1344
中国工商银行	Q1345
中国帆船	Q1347
中国建筑（建筑风格）	Q1349
中国建设银行	Q1350
中国戏剧（以戏曲和话剧为主的中国传统艺术）	Q1351
中国戏曲	Q1352
中国政治体系	Q1357
中国政法大学	Q1358
中国教育电视台	Q1359
中国文化（中国的文化）	Q1361
中国旅游日	Q1365
中国时报	Q1367
中国未识别民族	Q1369
中国核心利益	Q1370
中国武术	Q1374
中国民主促进会	Q1375
中国民主同盟	Q1376
中国民主建国会	Q1377
中国民兵	Q1378
中国民族主义	Q1379
中国民族音乐	Q1380
中国民族（政治及国族概念）	Q1381
中国民间宗教	Q1383
中国特色社会主义	Q1388
中国特色社会主义法律体系	Q1390
中国现代建筑	Q1392
中国现当代文学	Q1393
中国电子信息产业集团有限公司	Q1394
中国电影	Q1395
中国男子篮球职业联赛	Q1399
中国留学生	Q1400
中国的社会主义改造	Q1402
中国皇帝（中国最高统治者）	Q1404
中国石油天然气股份有限公司	Q1405
中国矿产资源	Q1406
中国神话（中国的神话传说）	Q1409
中国科学技术大学	Q1411
中国科学院	Q1412
中国科学院北京天文台	Q1413
中国科学院声学研究所	Q1414
中国科学院大学	Q1415
中国科学院软件研究所	Q1416
中国穆斯林	Q1417
中国经济体制改革	Q1422
中国经济通讯社	Q1423
中国经济（特定名词）	Q1424
中国联合网络通信集团有限公司	Q1425
中国致公党	Q1427
中国舞蹈荷花奖	Q1428
中国艺术节	Q1432
中国茶文化	Q1433
中国茶（茶文化）	Q1434
中国菜（菜式）	Q1435
中国西北地区	Q1436
中国西南部	Q1437
中国货运航空	Q1441
中国足球甲级联赛	Q1444
中国酒文化（中国酒的社会现象）	Q1450
中国银联	Q1454
中国银行	Q1455
中国银行（中国国有银行）	Q1456
中国音乐著作权协会	Q1459
中国音乐（音乐文化）	Q1460
中国高等教育（国家教育部主办杂志）	Q1462
中国高速铁路	Q1464
中国（上海）自由贸易试验区	Q1465
中国（世界四大文明古国之一）	Q1466
中国（福建）自由贸易试验区	Q1468
中土（指代中国或中原王朝）	Q1469
中坚份子（歌唱组合、品牌）	Q1470
中央人民政府委员会	Q1475
中央军	Q1478
中央军民融合发展委员会	Q1479
中央政府	Q1483
中央电视台新闻频道	Q1485
中央电视台综合频道	Q1486
中央电视台（中国中央电视台）	Q1487
中央银行	Q1491
中央革命根据地	Q1493
中子数	Q1494
中子星	Q1495
中学为体，西学为用	Q1496
中学教育	Q1497
中小学教育	Q1499
中山公园（上海市长宁区中山公园）	Q1500
中山国（战国时期诸侯国）	Q1502
中山大学（中国广东省高校）	Q1503
中山王	Q1505
中山纪念堂（广州市中山纪念堂）	Q1506
中山舰事件	Q1507
中山陵	Q1511
中山（广东省地级市）	Q1513
中庸之道	Q1516
中式按摩	Q1517
中微子	Q1518
中微子天文学	Q1519
中性白血球	Q1521
中文流行音乐	Q1523
中断处理	Q1525
中日关系（中国与日本之间的国家关系）	Q1526
中日甲午战争	Q1528
中欧关系（中国和欧洲联盟的外交）	Q1530
中正式步骑枪	Q1531
中沙群岛	Q1533
中洋脊	Q1537
中洲礁	Q1538
中环（香港政治及商业中心）	Q1540
中秋节	Q1541
中纬度	Q1545
中美关系	Q1549
中美建交	Q1550
中芯国际	Q1552
中苏交恶	Q1555
中药学（中医学科）	Q1558
中西医结合	Q1560
中西部高校基础能力建设工程	Q1561
中西部高校综合实力提升工程	Q1562
中途岛战役（美日战役）	Q1564
中途岛（jack	Q1565
中部地区	Q1566
中锋（篮球运动比赛队员的位置名称）	Q1568
中间路线	Q1570
中非（中非共和国）	Q1571
中风	Q1572
丰子恺	Q1573
丰泽园（饭庄）	Q1576
丰臣秀吉（日本历史人物）	Q1578
临夏回族自治州	Q1580
临安（浙江省杭州市旧称，南宋都城）	Q1581
临床医学（医学门类一级学科）	Q1582
临床医生	Q1583
临床心理学（学科名）	Q1584
临床试验（医学术语）	Q1585
临时演员（2017郑恺、热依扎主演电影）	Q1587
临济寺（河北省正定县寺庙、临济宗祖庭）	Q1591
临淄区	Q1594
临潼区	Q1598
临高语	Q1600
丹尼尔·丹尼特	Q1604
丹尼尔·卡内曼	Q1605
丹尼尔·拉斐尔	Q1606
丹尼尔·雷德克里夫	Q1607
丹尼斯·里奇	Q1608
丹江（长江支流汉江的支流）	Q1610
丹霞山	Q1613
丹顶鹤（鹤属鸟类的一种）	Q1615
丹麦	Q1616
丹麦奥尔堡大学	Q1617
丹麦自由党	Q1618
主义	Q1620
主序	Q1622
主流经济学	Q1626
主父偃	Q1627
主版	Q1628
主观	Q1630
主音音乐	Q1631
丽江古城	Q1634
义务教育	Q1637
义勇军进行曲	Q1638
义和团运动	Q1640
乌丸	Q1641
乌克兰	Q1642
乌兰巴托	Q1644
乌兰布通之战	Q1645
乌孙公主	Q1646
乌孙国	Q1647
乌孜别克族	Q1648
乌尔比安	Q1649
乌恰县	Q1651
乌桓	Q1653
乌江（长江支流）	Q1655
乌苏里江	Q1656
乌蒙山	Q1657
乌贼（软体动物门头足纲乌贼目动物）	Q1658
乌雅·兆惠	Q1659
乌鞘岭	Q1660
乌鲁木齐（新疆维吾尔自治区首府）	Q1661
乌龟（泛指所有龟类）	Q1662
乐东黎族自治县	Q1663
乐书（从《史记》相关篇章中辑录成关于音乐的著述）	Q1664
乐凯胶片	Q1665
乐理	Q1669
乐经	Q1670
乐记	Q1671
乐论（荀况）	Q1672
乐谱	Q1673
乐靖宜	Q1675
乐音（音乐术语）	Q1676
乒乓球	Q1677
乔任梁（中国内地男歌手、演员）	Q1678
乔冠华	Q1679
乔姆斯基范式	Q1680
乔尔丹诺·布鲁诺	Q1681
乔林（道德模范）	Q1682
乔治·克列孟梭	Q1683
乔治·凯利	Q1684
乔治·卡特利特·马歇尔	Q1685
乔治·奥威尔	Q1686
乔治·戈登·拜伦（英国19世纪初诗人）	Q1687
乔治·盖洛普	Q1688
乔治·索罗斯	Q1689
乔治·贝克莱	Q1690
乔治·阿克尔洛夫	Q1691
乘数效应	Q1693
九·一八事变	Q1699
九三学社	Q1700
九华山（国家自然与文化双遗产、国家5a级旅游景区）	Q1702
九寨沟国家级自然保护区	Q1705
九州（《九州幻想》中的奇幻架空世界）	Q1707
九年义务教育制度	Q1709
九校联盟	Q1712
九歌（楚辞作品）	Q1713
九章算术	Q1716
习仲勋（无产阶级革命家）	Q1720
习俗（传统文化名词）	Q1721
习近平	Q1723
乡级行政区	Q1726
书·禹贡	Q1727
书名号	Q1729
书法家	Q1731
书法（文字表现的艺术形式）	Q1732
书香门第（滕文骥执导电视剧）	Q1735
买方垄断	Q1736
买方寡头垄断	Q1737
乳香	Q1740
乾隆（清高宗年号）	Q1741
二人转（民间戏曲）	Q1745
二元结构	Q1746
二元论	Q1747
二十四个节气	Q1753
二十四史	Q1754
二孩政策	Q1757
二手车	Q1760
二手车市场	Q1761
二次方程	Q1764
二氧化碳	Q1766
二王（1983年东北二王特大案件）	Q1767
二进制	Q1769
二酰基甘油	Q1771
二里头文化	Q1772
于右任	Q1776
于小彤	Q1777
于式枚	Q1778
于戈（东北大学博士生导师）	Q1779
于成龙（清朝名臣）	Q1780
于洪区	Q1781
于海洋（君医堂品牌创立者）	Q1782
于海（中国武术名家、影视演员）	Q1783
于谦（明朝名臣、民族英雄）	Q1784
云冈石窟（中国古代石窟群）	Q1785
云南（中华人民共和国省级行政区）	Q1786
云开大山	Q1788
云林县	Q1789
云梦县	Q1790
云贵高原（中国西南部高原）	Q1795
云门寺（广东韶关云门寺）	Q1796
互动派	Q1799
互联网（网际网络）	Q1802
五一国际劳动节	Q1804
五代十国（中国历史时期）	Q1807
五伦	Q1808
五公祠	Q1811
五卅惨案	Q1813
