.cn	I2
中共中央纪律检查委员会中华人民共和国监察部	I1001
中医	I1006
中医医生	I1007
中医学（医学科学）	I1008
中医师	I1009
中医科	I1010
中医药	I1011
中医药学（2009年中国医药科技出版社出版书籍）	I1012
中医药方	I1013
中医诊断	I1014
中医针灸（世界非物质文化遗产）	I1015
中医院校	I1016
中华人民共和国	I1018
中华人民共和国中医药法	I1019
中华人民共和国中央人民政府	I1020
中华人民共和国主席	I1023
中华人民共和国人民代表会议制度	I1027
中华人民共和国全国人民代表大会	I1029
中华人民共和国全国人民代表大会代表	I1030
中华人民共和国全国人民代表大会常务委员会	I1031
中华人民共和国全国人民代表大会常务委员会委员长	I1032
中华人民共和国公安部	I1034
中华人民共和国农业法	I1036
中华人民共和国司法体制	I1041
中华人民共和国国务院副总理	I1044
中华人民共和国国务院总理	I1046
中华人民共和国国家中医药管理局	I1049
中华人民共和国国家卫生健康委员会	I1051
中华人民共和国国家安全法	I1053
中华人民共和国国家宗教事务局	I1054
中华人民共和国国家市场监督管理总局	I1055
中华人民共和国国家广播电视总局	I1056
中华人民共和国国家监察委员会	I1060
中华人民共和国国家通用语言文字法	I1064
中华人民共和国国旗	I1066
中华人民共和国国民经济和社会发展第十一个五年规划纲要	I1069
中华人民共和国国民经济和社会发展第十三个五年规划纲要	I1070
中华人民共和国地方各级人民政府	I1073
中华人民共和国外交部	I1076
中华人民共和国婚姻法（中华人民共和国法律条文）	I1077
中华人民共和国宪法	I1078
中华人民共和国宪法（中华人民共和国宪法）	I1079
中华人民共和国护照	I1080
中华人民共和国政府和大不列颠及北爱尔兰联合王国政府关于香港问题的联合声明	I1081
中华人民共和国教育部	I1084
中华人民共和国最高人民法院	I1086
中华人民共和国民法通则	I1089
中华人民共和国环境保护法	I1093
中华人民共和国第一届全国人民代表大会	I1095
中华人民共和国第十二届全国人民代表大会	I1099
中华人民共和国行政区划	I1101
中华全国体育总会	I1103
中华文化	I1107
中华民国	I1112
中华民国国民政府	I1124
中华民国宪法（中华民国宪法）	I1127
中华民国政府	I1129
中华民国陕甘宁边区政府	I1134
中华民族（中央电视台节目）	I1136
中华苏维埃共和国	I1146
中华苏维埃共和国临时中央政府	I1147
中华（香烟品牌）	I1155
中南大学	I1158
中南政法学院	I1160
中印边界	I1162
中原（中国文明发源地）	I1167
中国gdp	I1171
中国东北地区	I1173
中国东部	I1175
中国中医科学院	I1176
中国人口	I1184
中国人民大学	I1185
中国人民志愿军	I1187
中国人民政治协商会议	I1188
中国人民武装警察部队	I1197
中国人民解放军	I1198
中国人民解放军战略支援部队	I1200
中国人民解放军火箭军	I1201
中国传统建筑	I1211
中国传统文化（民族文明，风俗，精神的总称）	I1212
中国传统艺术	I1214
中国传统节日	I1215
中国作家（作家分类）	I1221
中国入世十周年高层论坛	I1222
中国共产党	I1225
中国共产党上海市委员会	I1226
中国共产党中央军事委员会	I1230
中国共产党中央委员会	I1233
中国共产党中央委员会主席	I1234
中国共产党中央委员会宣传部	I1236
中国共产党中央委员会总书记	I1237
中国共产党中央政治局	I1240
中国共产党中央纪律检查委员会	I1245
中国共产党章程	I1256
中国共产党第三次全国代表大会	I1260
中国共产党第十三次全国代表大会	I1268
中国共产党第十九次全国代表大会（党的十九大）	I1269
中国共产党第十八次全国代表大会	I1272
中国共产党领导的多党合作和政治协商制度	I1275
中国内地	I1278
中国农业	I1281
中国农工民主党	I1282
中国制造2025	I1287
中国力量（nhk出品的纪录片特辑）	I1289
中国医学	I1290
中国卫星	I1294
中国历史（中国从云南元谋人到二十一世纪之间的历史）	I1300
中国古代哲学（中国古代的哲学）	I1301
中国古代音乐	I1303
中国古典文学	I1304
中国史学史（金毓黻创作历史作品）	I1307
中国哲学	I1309
中国哲学史大纲	I1310
中国国内生产总值	I1316
中国国医节	I1317
中国国民党	I1321
中国国民党革命委员会	I1325
中国土地资源	I1329
中国外交政策	I1333
中国外汇储备	I1334
中国大陆	I1336
中国好声音之为你转身	I1337
中国威胁论	I1339
中国工农红军第一方面军	I1344
中国工商银行	I1345
中国建筑（建筑风格）	I1349
中国建设银行	I1350
中国戏剧（以戏曲和话剧为主的中国传统艺术）	I1351
中国戏曲	I1352
中国改革开放	I1354
中国政治体制改革	I1356
中国政法大学	I1358
中国旅游日	I1365
中国未识别民族	I1369
中国核心利益	I1370
中国武术	I1374
中国民主促进会	I1375
中国民主同盟	I1376
中国民主建国会	I1377
中国民兵	I1378
中国民族主义	I1379
中国民族音乐	I1380
中国特色社会主义	I1388
中国特色社会主义法律体系	I1390
中国现代建筑	I1392
中国现当代文学	I1393
中国电子信息产业集团有限公司	I1394
中国电影	I1395
中国的社会主义改造	I1402
中国石油天然气股份有限公司	I1405
中国矿产资源	I1406
中国科学院	I1412
中国科学院声学研究所	I1414
中国穆斯林	I1417
中国经济（特定名词）	I1424
中国自杀率	I1426
中国致公党	I1427
中国舞蹈荷花奖	I1428
中国艺术节	I1432
中国西北地区	I1436
中国西南部	I1437
中国银行	I1455
中国银行（中国国有银行）	I1456
中国音乐（音乐文化）	I1460
中国高速铁路	I1464
中国（世界四大文明古国之一）	I1466
中央人民政府委员会	I1475
中央政府	I1483
中央电视台（中国中央电视台）	I1487
中央银行	I1491
中央革命根据地	I1493
中子数	I1494
中子星	I1495
中学教育	I1497
中庸之道	I1516
中微子	I1518
中微子天文学	I1519
中性原子	I1520
中性白血球	I1521
中文流行音乐	I1523
中日关系（中国与日本之间的国家关系）	I1526
中欧关系（中国和欧洲联盟的外交）	I1530
中正式步骑枪	I1531
中洋脊	I1537
中秋节	I1541
中美关系	I1549
中芯国际	I1552
中苏交恶	I1555
中药学（中医学科）	I1558
中西医结合	I1560
中锋（篮球运动比赛队员的位置名称）	I1568
中间路线	I1570
中非（中非共和国）	I1571
中风	I1572
临床医学（医学门类一级学科）	I1582
临床医生	I1583
临床心理学（学科名）	I1584
临床试验（医学术语）	I1585
临时演员（2017郑恺、热依扎主演电影）	I1587
丹尼尔·卡内曼	I1605
丹尼尔·雷德克里夫	I1607
丹霞山	I1613
丹麦	I1616
丹麦奥尔堡大学	I1617
丹麦自由党	I1618
主义	I1620
主序	I1622
主流经济学	I1626
主版	I1628
主观	I1630
主音音乐	I1631
丽江古城	I1634
义务教育	I1637
义勇军进行曲	I1638
乌尔比安	I1649
乌恰县	I1651
乌苏里江	I1656
乐书（从《史记》相关篇章中辑录成关于音乐的著述）	I1664
乐理	I1669
乐经	I1670
乐记	I1671
乐论（荀况）	I1672
乐谱	I1673
乐音（音乐术语）	I1676
乒乓球	I1677
乔尔丹诺·布鲁诺	I1681
乔林（道德模范）	I1682
乔治·凯利	I1684
乔治·戈登·拜伦（英国19世纪初诗人）	I1687
乔治·盖洛普	I1688
乔治·索罗斯	I1689
乔治·贝克莱	I1690
乔治·阿克尔洛夫	I1691
乘数效应	I1693
九三学社	I1700
九寨沟国家级自然保护区	I1705
九年义务教育制度	I1709
九校联盟	I1712
习俗（传统文化名词）	I1721
习近平	I1723
习近平新时代中国特色社会主义思想	I1724
乡级行政区	I1726
书名号	I1729
书法（文字表现的艺术形式）	I1732
买方垄断	I1736
买方寡头垄断	I1737
乳香	I1740
二人转（民间戏曲）	I1745
二元结构	I1746
二元论	I1747
二十四史	I1754
二手车	I1760
二手车市场	I1761
二氧化碳	I1766
二进制	I1769
二酰基甘油	I1771
于式枚	I1778
于海洋（君医堂品牌创立者）	I1782
云南（中华人民共和国省级行政区）	I1786
云梦县	I1790
互动派	I1799
互联网（网际网络）	I1802
五一国际劳动节	I1804
五卷书	I1814
五四运动（1919年青年学生组织的爱国运动）	I1817
五四青年节	I1818
五大洋	I1822
五天工作制	I1824
五族共和	I1838
五禽戏（中国传统健身方法）	I1849
五经博士	I1851
五经异义	I1852
五行学说	I1856
五行生克（哲学理论）	I1857
五行相克	I1858
五行相生	I1859
五行说	I1860
五院	I1864
五院四系	I1865
井冈山革命根据地	I1867
井冈山（江西省吉安市代管县级市）	I1868
井冈山（江西省吉安市境内山脉）	I1869
亚伦·卡特	I1873
亚历克西斯	I1874
亚历山大·冯·洪堡	I1875
亚历山大大帝（马其顿国王）	I1877
亚原子	I1879
亚太	I1880
亚太经济合作组织	I1882
亚当·斯密	I1883
亚拉巴马州	I1885
亚洲	I1886
亚洲四小龙	I1888
亚洲基础设施投资银行	I1889
亚洲大陆	I1890
亚洲相互协作与信任措施会议	I1893
亚热带	I1895
亚热带常绿阔叶林	I1898
亚热带气候	I1899
亚特（户外用品品牌）	I1902
亚瑟·叔本华	I1903
亚瑟·斯坦利·爱丁顿	I1904
亚里士多德（古希腊著名思想家）	I1908
亚高山针叶林	I1909
交易媒介	I1916
交易成本	I1917
交通运输	I1924
产业组织理论（经济学分支学科）	I1935
产品激活	I1937
产科	I1940
产程	I1941
亨利四世（波旁王朝国王）	I1944
京剧演员	I1946
京剧（中国戏剧艺术（国粹的典型代表））	I1947
京师大学堂	I1950
京广高速铁路	I1951
京沪高速铁路	I1959
亲属制度	I1967
人与人之间	I1973
人事心理学	I1976
人体实验	I1978
人再囧途之泰囧	I1979
人力资本（名词解释）	I1980
人口基数	I1985
人口增长率	I1986
人口密度	I1987
人口政策	I1990
人口普查	I1992
人口结构	I1994
人口统计学	I1996
人口老龄化	I1997
人口走私	I1999
人因工程学（2006年机械工业出版社出版图书）	I2001
人均国内生产总值	I2003
人工智能（计算机科学的一个分支）	I2007
人才市场	I2013
人才（词语概念）	I2015
人文主义	I2017
人文地理学（地理学分支学科）	I2018
人文学科	I2019
人文环境	I2022
人本主义	I2024
人本主义心理学	I2025
人本主义治疗	I2026
人机互动	I2027
人权宣言	I2028
人权（普遍的人类权利）	I2029
人格心理学（心理学的分支之一）	I2030
人格理论	I2031
人格（心理学术语）	I2032
人民币债券	I2036
人民币汇率	I2037
人民币（中国人民银行发行的货币）	I2038
人民日报	I2039
人的行为	I2048
人类历史	I2049
人类学（学科）	I2051
人类情感	I2052
人类文明	I2053
人类潜能	I2055
人类环境	I2056
人类的进化（进化论历史）	I2057
人类社会	I2058
人类行为	I2060
人类起源	I2061
人类（《魔兽世界》种族）	I2063
人类（人的总称）	I2064
人脑	I2065
人造卫星（环绕地球在空间轨道上运行的无人航天器）	I2068
人造地球卫星	I2069
人际互动	I2072
亿万（2016年美国电视剧）	I2074
今文尚书	I2080
今文经学	I2081
从严治党	I2085
仙女星系	I2090
代数几何	I2094
代数结构（数学概念）	I2101
代数（数学分支）	I2102
代码	I2103
令史	I2106
以物易物	I2111
以纯	I2112
以经济建设为中心	I2113
以色列	I2114
以赛亚·伯林	I2116
价值取向	I2125
价值理论	I2126
价值观	I2127
任务（社会学术语）	I2128
任建宇	I2129
企业家精神（企业家精神阐述）	I2133
企业的社会责任（词语解析）	I2135
伊万·彼得罗维奇·巴甫洛夫	I2138
伊壁鸠鲁学派	I2143
伊底帕斯王	I2147
伊拉斯谟（荷兰中世纪哲学家）	I2150
伊斯兰国家	I2153
伊斯兰教	I2154
伊斯兰黄金时代	I2155
伊斯雷尔·爱泼斯坦	I2157
伊曼努尔·康德	I2160
伊曼努尔·康德（德国作家和古典哲学创始人）	I2161
伊朗	I2162
伊本·巴图塔	I2163
伊本·西拿	I2165
伊本·赫勒敦	I2166
伊甸园（英国歌手莎拉·布莱曼专辑）	I2169
伏牛山（中国河南省西南部山脉）	I2179
伏生（文人）	I2180
伏羲（中华上古人文祖神）	I2183
优先权	I2189
会所	I2194
伟烈亚力	I2202
传奇（2012年沈燕林执导电视剧）	I2203
传播学（社会科学学科）	I2206
传染病（人与动物之间相互传播的一类疾病）	I2208
传统	I2209
传统医学	I2213
传统文化	I2214
传统权威	I2216
传统艺术	I2217
伤寒	I2223
伤寒学派	I2224
伤寒杂病论	I2225
伤寒论	I2226
伦敦大学	I2228
伦敦政治经济学院	I2229
伦理学（哲学分支学科）	I2235
伪科学	I2239
伯尔尼	I2242
伯恩哈德	I2243
伯特兰·罗素	I2245
伯纳德·罗斯	I2246
伯纳德（法国足球运动员）	I2247
伯罗奔尼撒战争史	I2248
伯罗奔尼撒战争（古代战争）	I2249
伴星（恒星）	I2250
伽利略·伽利雷	I2253
伽马射线暴	I2254
体会（内衣品牌）	I2262
体内平衡	I2263
体内环境	I2264
体制内	I2265
体液	I2267
体系文件	I2268
体育事业	I2269
体育竞赛	I2272
体裁	I2274
体适能	I2275
余云岫	I2291
余无言	I2294
佛教	I2303
佛香阁	I2306
作家（从事文学创作有成就的人）	I2307
作者（名词释义）	I2310
作词人	I2311
佟大为	I2312
佳木斯（黑龙江省地级市）	I2319
使用者	I2320
供给和需求	I2325
供给弹性系数	I2326
供给曲线	I2327
供给面学派	I2328
侵蚀沟	I2338
俄克拉何马州	I2343
俄罗斯卢布	I2347
俄罗斯海军	I2350
俄罗斯苏维埃联邦社会主义共和国	I2353
俄罗斯（俄罗斯联邦）	I2354
保密协议	I2361
保护环境	I2363
保时捷911	I2365
保罗·斯科尔斯	I2368
保险成本	I2376
俞樾（清代著名学者）	I2377
信仰主义	I2379
信史	I2382
信息不对称	I2385
信息学	I2386
信息技术（用于管理和处理信息所采用各种技术总称）	I2388
信托	I2389
修女艾达	I2394
修昔底德（古希腊历史学家、雅典十将军之一）	I2397
值域（数学名词，函数经典定义）	I2410
偏序关系	I2416
停滞性通货膨胀	I2419
健壮性	I2421
健身	I2425
健身俱乐部	I2426
傅山	I2430
傣族	I2432
傣族泼水节	I2433
儒家思想	I2439
儒家（信奉孔子学说的哲学学派）	I2442
儒教	I2443
儿科专家	I2447
儿童心理学家	I2448
元嘉（南朝宋文帝刘义隆年号）	I2453
元曲	I2460
元朝（中国历史朝代）	I2462
元末明初	I2464
元杂剧	I2465
元素之歌	I2467
元素周期表（化学元素列表）	I2468
充分就业	I2474
先秦	I2476
先秦文学	I2477
先秦诸子	I2478
先验	I2482
光子	I2488
光学（物理学分支）	I2491
光球	I2496
光电效应	I2497
光能	I2501
光谱仪	I2502
光谱学	I2503
光速（物理学名词）	I2504
克利斯登·奈加特	I2507
克劳德·斯特莱夫	I2509
克劳德·昂利·圣西门	I2510
克劳德·艾尔伍德·香农	I2511
克罗·霍根（《游戏王5d's》主要角色之一）	I2514
克里斯·保罗	I2519
克里斯托弗·哥伦布（意大利的著名航海家）	I2520
克里斯蒂安·沃尔夫	I2521
克里米亚战争	I2524
克雷格·大卫	I2525
免疫调节	I2526
免签证	I2527
全国科学技术名词审定委员会	I2555
全家（日本企业）	I2557
全序关系	I2558
全新世	I2560
全民健身	I2564
全民健身日	I2565
全民健身计划纲要	I2566
全球化（人类社会发展的现象）	I2570
全球定位系统	I2571
全球气候变暖	I2573
全美达	I2580
全职	I2581
全职工作	I2582
全超导托卡马克核聚变实验装置	I2584
全面依法治国	I2586
全面建成小康社会	I2587
八一南昌起义（1927年周恩来领导的武装起义）	I2591
八一建军节	I2592
八元数	I2596
八六学潮	I2597
八国集团	I2600
八大行星	I2603
八字	I2604
八法（名词）	I2613
八纲	I2617
八纲辨证	I2618
八纵八横	I2619
八路军（国民革命军第八路军）	I2620
公乘阳庆	I2622
公众	I2624
公众人物	I2625
公元529年	I2629
公元前1046年	I2632
公元前130年	I2633
公元前202年	I2635
公元前207年	I2636
公元前221年	I2637
公元前300年	I2640
公元前486年	I2641
公元前770年	I2643
公元前841年	I2644
公元（纪年体系）	I2645
公共利益	I2648
公共工程	I2653
公共广播	I2654
公共政策	I2656
公共物品	I2660
公共经济学（公共部门经济学）	I2663
公共财政	I2665
公共选择	I2666
公共选择学派	I2667
公共选择理论	I2668
公募	I2673
公司	I2674
公孙龙（名家人物公孙龙（字子秉））	I2685
公平价值	I2687
公平正义	I2688
公式（数学术语与其它意义的词汇）	I2691
公民基本权利	I2693
公民投票	I2694
公民权利和政治权利国际公约	I2695
公民社会	I2697
公理	I2701
公理系统	I2703
公立学校	I2706
公营住宅	I2709
六十进制	I2714
六合丛谈	I2715
六艺	I2731
兰迪·史密斯	I2749
兰陵王入阵曲（歌舞戏）	I2752
共产主义	I2754
共产主义社会	I2758
共产党	I2759
共产党宣言（图书名称）	I2761
共价键	I2763
共和（共和制）	I2768
共振	I2769
关税	I2786
关羽（汉末三国时期蜀汉名将、中国武圣）	I2787
关键（肇庆高新区区委副书记、肇庆市科技局局长）	I2789
兵马俑（秦始皇兵马俑）	I2804
养生保健	I2807
内存	I2817
内存地址	I2818
内存管理	I2819
内核版本	I2821
内核错误	I2822
内海	I2826
内省法	I2831
内科（医学专业）	I2833
内能（热力学及化学）	I2834
内蒙古	I2836
内隐态度	I2844
内隐记忆	I2845
再生能源	I2851
军事思想	I2860
军事战术	I2862
军事战略	I2863
军事科学	I2865
军事科技（工程技术分支）	I2866
军事装备学	I2867
军衔	I2885
军阀割据	I2887
军队指挥学	I2890
军队政治工作	I2891
农业	I2892
农业化学	I2895
农业户口	I2899
农业生态系统	I2905
农业用地	I2906
农业社会	I2907
农业补贴	I2910
农历（中国传统历法）	I2915
农学	I2916
农村人口	I2919
农村包围城市（毛泽东等中国共产党人创立的革命道路）	I2920
农村居民	I2921
农民家庭	I2925
农药	I2930
冥古宙	I2932
冯家妹	I2947
冯小刚	I2948
冰敷	I2956
冰河（日本动漫《圣斗士星矢》中的人物）	I2958
冰雹（天气现象）	I2959
冲田总悟	I2960
冷战（美国与苏联为主的政治、经济、军事斗争）	I2968
减数分裂（细胞分裂方式）	I2979
凝聚态	I2980
凝聚态物理学	I2981
几何光学	I2982
几何分布	I2983
凯恩斯主义	I2993
凯恩斯学派	I2994
凯恩斯理论	I2995
凯恩斯经济学	I2996
凯拉斯	I2997
凯莉·布鲁克	I3000
出光	I3005
出口贸易	I3008
出庭作证	I3012
出版自由	I3014
函数（数学函数）	I3019
分号	I3021
分子云	I3022
分子医学	I3023
分子束	I3024
分子物理学	I3025
分子生物学（自然科学门类）	I3026
分子间作用力	I3027
分子（物理化学术语）	I3028
分封制	I3029
分层法	I3030
分布式系统	I3031
分布式（计算机的一种算法）	I3033
分时系统	I3034
分权制	I3035
分权制衡	I3036
分析力学	I3037
分析哲学	I3038
分析学	I3039
分析心理学	I3040
分类（词语概念）	I3045
切伦科夫	I3049
切换器	I3050
刑事侦缉档案iv	I3051
刑事政策	I3053
刑事诉讼	I3054
刑法（法律概念）	I3057
刑罚	I3058
列夫·达维多维奇·托洛茨基（俄国无产阶级革命家，十月革命直接领导人）	I3061
列夫·达维多维奇·朗道	I3062
列宁主义（政治概念）	I3063
列宁（苏维埃社会主义共和国联盟的缔造者）	I3065
列维纳斯	I3066
刘余	I3073
刘华强（《征服》反一号黑帮老大）	I3076
刘向（西汉历史学家、文学家）	I3079
刘安（台湾知名豆浆机品牌）	I3087
刘完素	I3088
刘少奇	I3092
刘慈欣	I3102
刘晓波（北京师范大学原教师）	I3107
创新理论	I3158
初学者（美国2011年迈克·米尔斯执导电影）	I3162
初等代数	I3164
初级生产	I3165
判别式	I3168
利兹（英格兰西约克郡城市）	I3169
利曼	I3171
利润	I3174
利润最大化	I3175
利益冲突	I3177
利益团体	I3178
利益最大化	I3179
利益集团（通俗意义）	I3180
利维·维谷斯基	I3181
制作人（2015年韩国kbs台金土剧）	I3185
制图六体	I3186
制度研究法	I3192
制度经济学（经济学分支学科）	I3193
刻板印象（心理学名词）	I3197
前向纠错	I3201
前定和谐	I3203
前瞻性研究	I3207
剧场（2013年杨文军执导电视剧）	I3215
剧本（文学体裁）	I3216
剩余价值理论	I3217
副总裁	I3219
副本（新时代网络游戏特点）	I3220
副热带高压区	I3221
力矩	I3228
力量（吸引力法则_朗达·拜恩著作）	I3229
功（力和力在力的方向上通过位移的乘积）	I3238
加利福尼亚州（美国西部行政州）	I3242
加密狗（恶意抢票软件）	I3243
加工贸易	I3246
加布里埃尔（电影《情逝》又名）	I3247
加拿大元	I3248
加拿大（北美洲国家）	I3249
加法器	I3252
加速度（物理概念）	I3254
动作片	I3255
动力学	I3256
动物区系	I3260
动物和植物	I3261
动物实验	I3262
动物行为	I3263
动物行为学	I3264
动物（生物学名词）	I3265
动量	I3266
动量守恒	I3267
助教	I3268
努比亚（手机品牌）	I3269
劳动价值	I3271
劳动价值理论	I3272
劳动力人口	I3273
劳动力价格	I3274
劳动力成本	I3275
劳动收入	I3278
劳动教养	I3279
劳动经济学（经济学分支学科）	I3281
勋爵	I3286
勒内·笛卡尔	I3287
勒布朗·詹姆斯	I3288
勒纳德	I3289
勒维耶	I3290
募兵制	I3291
勾股定理	I3292
化学	I3301
化学元素丰度	I3302
化学制品	I3303
化学反应（化学名词）	I3304
化学地理学	I3305
化学实验室	I3306
化学家（研究化学的人物群体）	I3307
化学平衡	I3309
化学成分	I3310
化学物质	I3311
化学语言	I3314
化疗	I3315
化石（地史时期古生物的遗体、遗迹和遗物）	I3317
北上广	I3319
北亚	I3320
北京中医药大学	I3322
北京反腐败宣言	I3328
北京地铁（北京市城市轨道交通系统）	I3330
北京大学	I3331
北京市中医学校	I3333
北京市商务管理学校	I3335
北京故宫	I3341
北京首都国际机场	I3349
北京（中华人民共和国首都）	I3351
北仑河	I3354
北伐战争	I3357
北冰洋	I3359
北宋时期	I3367
北斗卫星导航系统	I3374
北方地区	I3376
北极（地球自转轴的北端）	I3377
北欧福利国家	I3379
北洋政府	I3384
北美洲	I3396
北美防空司令部	I3397
北达科他州	I3399
北部地区（新西兰北部地区）	I3400
